JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
1,1420,2,1,FG,2,6,1,1,7,90,180,1,0,0,0,2,16.4,6,17.7,0,766,gazouilliscontinuapartirdeladiffusion
1,1427,3,1,FJ,4,6,1,1,0,5,180,0,20,1,0,0,16.4,6,17.7,0,766,
1,1435,4,0,FTNcomp,4,6,1,1,0,90,180,0,0,0,0,0,16.7,6,14.5,585.2,339,
1,1445,5,0,TN,1,6,1,1,0,90,180,0,0,0,0,0,16.7,6,14.5,585.2,339,
1,1450,6,0,FTNcomp,4,6,1,1,0,10,79,2,0,0,0,5,16.7,6,14.5,585.2,339,
1,1515,1,0,FTNsif,4,7,2,1,0,2,60,0,0,1,0,4,16.8,8,19.3,1.3,687,
1,1525,2,0,TN,2,7,2,1,0,10,41,0,0,0,0,0,16.8,8,19.3,1.3,687,
1,1530,3,0,TN,2,7,2,1,0,90,180,0,0,0,0,0,17.6,5,16.1,0,786,
1,1540,4,0,FJ,1,7,2,1,0,90,180,0,0,0,0,0,17.6,5,16.1,0,786,
1,1548,5,1,FJ,4,7,2,1,0,2,20,2,163,1,0,3,17.6,5,16.1,0,786,chantpendantdiffusion.Aprèscris
1,1557,6,0,FTNsif,3,7,2,1,0,90,180,0,0,0,0,3,17.6,5,16.1,0,786,
1,1613,1,0,FJ,2,8,2,1,0,2,12,5,0,3,0,9,17.3,5,16.1,0,243,
1,1622,2,1,FTNsif,1,8,2,1,0,5,44,2,0,0,0,1,17.3,5,16.1,0,243,chantsourdine
1,1630,3,0,FTNsif,2,8,2,1,0,5,36,3,0,0,1,0,17.3,6,20.9,0,758,
1,1638,4,1,FTNgaz,2,8,2,1,0,5,180,0,5,0,0,0,17.3,6,20.9,0,758,lamaispasreagi
1,1647,5,0,FTNsif,2,8,2,1,0,90,180,0,30,0,1,0,17.3,6,20.9,0,758,femellela.Maleloin?
1,1656,6,0,FTNgaz,1,8,2,1,0,2,70,3,0,1,0,0,17.3,6,20.9,0,758,
2,741,6,0,FG,3,9,2,1,0,5,155,0,0,0,0,4,6.6,5,12.9,0,23,
2,755,5,0,FTNcomp,4,9,2,1,0,90,180,0,0,0,0,0,6.6,5,12.9,0,23,
2,809,4,0,FTNgaz,1,9,3,1,0,90,180,0,0,0,1,1,7.7,3,6.4,0,47,
2,816,3,0,FTNsif,1,9,3,1,0,2,60,4,0,5,1,0,7.7,3,6.4,0,47,2femelles
2,824,2,0,FTNsif,4,9,3,1,0,5,90,0,0,0,1,8,7.7,3,6.4,0,47,
2,834,1,0,FJ,4,9,3,1,0,90,180,0,0,0,0,21,9,3,4.8,0,241,
2,850,6,1,FG,3,10,3,2,0,10,130,1,0,0,0,1,9,3,4.8,0,241,Debroussailleuse
2,900,5,0,FTNsif,2,10,3,2,0,90,180,0,0,0,0,0,10.6,2,6.4,0,325,
2,909,4,1,FG,4,10,2,1,0,90,180,0,0,0,0,1,10.6,2,6.4,0,325,
2,917,3,1,FTNgaz,4,10,2,1,8,10,180,6,0,0,0,0,10.6,2,6.4,0,325,"2malesacote.durdefaireladifference.Stoppelechantaladiffusion,reprendavantfin"
2,925,2,1,FTNcomp,2,10,2,1,8,2,2,18,2,1,1,2,10.6,2,6.4,0,325,
2,935,1,1,FTNgaz,3,10,2,1,3,10,180,2,0,0,1,5,11.7,3,9.7,0,415,maleetfemelleladesledepart
2,953,6,0,TN,2,11,2,1,0,90,41,0,0,0,0,10,11.7,3,9.7,0,415,
2,1001,5,0,FTNgaz,3,11,2,1,0,2,180,2,151,1,0,6,11.7,3,8,0,499,
2,1011,4,0,FTNsif,4,11,2,1,0,90,180,1,0,0,0,3,11.7,3,8,0,499,
2,1020,3,0,FTNcomp,4,11,2,1,0,5,30,7,0,1,0,0,12.7,3,8,0,499,
2,1027,2,1,FTNgaz,2,11,2,1,0,5,3,22,45,1,1,9,12.7,3,8,0,499,
2,1035,1,0,TN,2,11,2,1,0,90,180,0,0,0,0,15,13.4,2,6.4,0,575,
